Start Again

This is a summary of logs from May 2017 to December 2017.

Log Name	Aircraft	Takeoff Time	Flight Length	Landing Time	Flight Distance
Althegnenberg - Mannheim City		2017/11/24 14:33	1 hr 25 m (1.4h)	2017/11/24 15:59	139 nm
(75 nm) Bad Woerishofen-Nord - Jesenwang		2017/11/24 12:09	44 min (0.7h)	2017/11/24 12:53	75 nm
Bad Woerishofen-Nord - Jesenwang		2017/11/24 12:09	44 min (0.7h)	2017/11/24 12:53	75 nm
(77 nm) Jesenwang - Bad Woerishofen-Nord		2017/11/24 10:13	45 min (0.7h)	2017/11/24 10:58	77 nm
Jesenwang - Bad Woerishofen-Nord		2017/11/24 10:13	45 min (0.7h)	2017/11/24 10:58	77 nm
(141 nm) Mannheim City - Jesenwang		2017/11/24 07:46	1 hr 5 m (1.1h)	2017/11/24 08:52	141 nm
Mannheim City - Jesenwang		2017/11/24 07:46	1 hr 5 m (1.1h)	2017/11/24 08:52	141 nm
(42 nm) Aschaffenburg - Mannheim City		2017/11/18 14:23	28 min (0.5h)	2017/11/18 14:51	42 nm
(47 nm) Mannheim City - Aschaffenburg		2017/11/18 13:25	25 min (0.4h)	2017/11/18 13:50	47 nm
(47 nm) Mannheim City - Aschaffenburg		2017/11/18 13:25	25 min (0.4h)	2017/11/18 13:50	47 nm
(85 nm) Mannheim City - Mannheim City		2017/11/14 12:10	59 min (1.0h)	2017/11/14 13:09	85 nm
(129 nm) Mannheim City - Mannheim City		2017/10/19 14:54	1 hr 12 m (1.2h)	2017/10/19 16:06	129 nm
(73 nm) Mannheim City - Mannheim City		2017/10/04 16:07	45 min (0.7h)	2017/10/04 16:51	73 nm
(97 nm) Donaueschingen-Villingen - Mannheim City		2017/09/26 15:08	57 min (0.9h)	2017/09/26 16:05	97 nm
Pfullendorf Krhs. - Wald 201709261346		2017/09/26 13:46	30 sec (0.0h)	2017/09/26 13:46	3.7 nm
(211 nm) Kempten-Durach - Donaueschingen-Villingen		2017/09/26 11:54	2 hr 9 m (2.2h)	2017/09/26 14:04	211 nm
(138 nm) Mannheim City - Kempten-Durach		2017/09/26 08:38	1 hr 24 m (1.4h)	2017/09/26 10:03	138 nm
(435 nm) Montpellier Mediterranee - Mannheim City		2017/09/03 10:37	3 hr 18 m (3.3h)	2017/09/03 13:56	435 nm
(438 nm) Mannheim City - Montpellier Mediterranee		2017/09/01 07:35	3 hr 8 m (3.1h)	2017/09/01 10:44	438 nm
(128 nm) Mannheim City - Mannheim City		2017/08/23 16:12	1 hr 3 m (1.1h)	2017/08/23 17:16	128 nm
(56 nm) Mannheim City - Mannheim City		2017/08/16 16:30	33 min (0.6h)	2017/08/16 17:04	56 nm
(46 nm) Mannheim City - Mannheim City		2017/08/15 15:17	30 min (0.5h)	2017/08/15 15:47	46 nm
(201 nm) Vilshofen - Mannheim City		2017/07/31 14:34	1 hr 55 m (1.9h)	2017/07/31 16:30	201 nm
(142 nm) Bamberg-Breitenau - Vilshofen		2017/07/30 11:36	1 hr 24 m (1.4h)	2017/07/30 13:01	142 nm
(0,3 nm) Bamberg-Breitenau - Bamberg-Breitenau		2017/07/30 11:35	25 sec (0.0h)	2017/07/30 11:35	0.3 nm
(106 nm) Mannheim City - Bamberg-Breitenau		2017/07/30 07:40	54 min (0.9h)	2017/07/30 08:34	106 nm
(95 nm) Mannheim City - Mannheim City		2017/07/26 16:48	50 min (0.8h)	2017/07/26 17:38	95 nm
(6,5 nm) Mannheim City - Mannheim City		2017/07/21 16:12	5 min (0.1h)	2017/07/21 16:17	6.5 nm
(6,6 nm) Mannheim City - Mannheim City		2017/07/21 16:03	5 min (0.1h)	2017/07/21 16:07	6.6 nm
(41 nm) Weingarten (Baden) - Mannheim City		2017/07/21 15:35	23 min (0.4h)	2017/07/21 15:59	41 nm
(36 nm) Mannheim City - Mannheim City		2017/06/30 09:08	28 min (0.5h)	2017/06/30 09:37	36 nm
(36 nm) MainzFinthen - Mannheim City		2017/06/11 14:00	26 min (0.4h)	2017/06/11 14:26	36 nm
(84 nm) MainzFinthen - MainzFinthen		2017/06/11 12:46	54 min (0.9h)	2017/06/11 13:40	84 nm
(38 nm) Mannheim City - MainzFinthen		2017/06/11 11:43	24 min (0.4h)	2017/06/11 12:07	38 nm
Dijon Darois - Mannheim City		2017/06/01 14:16	1 hr 54 m (1.9h)	2017/06/01 16:10	196 nm
(196 nm) Dijon Darois - Mannheim City		2017/06/01 14:16	1 hr 54 m (1.9h)	2017/06/01 16:10	196 nm
Nuits Saint Georges - Dijon Darois		2017/06/01 13:33	23 min (0.4h)	2017/06/01 13:57	32 nm
(32 nm) Nuits Saint Georges - Dijon Darois		2017/06/01 13:33	23 min (0.4h)	2017/06/01 13:57	32 nm
Mannheim City - Nuits Saint Georges		2017/06/01 07:38	2 hr 3 m (2.1h)	2017/06/01 09:42	206 nm
(206 nm) Mannheim City - Nuits Saint Georges		2017/06/01 07:38	2 hr 3 m (2.1h)	2017/06/01 09:42	206 nm
(42 nm) Worms - Mannheim City		2017/05/29 16:09	31 min (0.5h)	2017/05/29 16:40	42 nm
(30 nm) Mannheim City - Worms		2017/05/29 15:29	24 min (0.4h)	2017/05/29 15:52	30 nm
(56 nm) Bad Duerkheim - Mannheim City		2017/05/18 15:44	41 min (0.7h)	2017/05/18 16:25	56 nm
(16 nm) Mannheim City - Bad Duerkheim		2017/05/18 15:29	12 min (0.2h)	2017/05/18 15:41	16 nm
42 hr 10 m (42.2h)		4,505 nm
